alpha,entry_latency_ms,exit_horizon_ms,total_pnl,selected,observed,fills,pnl_per_selected,pnl_per_observed,pnl_per_fill,hit_rate,max_drawdown
baseline_reversal,100,7500,-42.458250000000035,764,131,125,-0.05557362565445031,-0.32410877862595444,-0.3396660000000003,0.112,42.458250000000035
baseline_reversal,100,10000,-36.96239999999999,764,126,120,-0.04838010471204187,-0.29335238095238086,-0.3080199999999999,0.10833333333333334,36.96239999999999
baseline_reversal,250,500,-34.485243200000006,764,168,159,-0.04513775287958116,-0.2052693047619048,-0.21688832201257865,0.012578616352201259,34.485243200000006
baseline_reversal,250,750,-36.336044700000016,764,168,159,-0.0475602679319372,-0.21628598035714294,-0.22852858301886803,0.031446540880503145,36.336044700000016
baseline_reversal,250,1000,-36.66188140000001,764,168,159,-0.04798675575916232,-0.2182254845238096,-0.23057787044025166,0.018867924528301886,36.66188140000001
baseline_reversal,250,1500,-36.76868079999999,764,165,156,-0.048126545549738206,-0.22284048969696965,-0.23569667179487175,0.04487179487179487,36.81214999999999
baseline_reversal,250,2000,-37.095789999999994,764,159,150,-0.048554698952879574,-0.23330685534591192,-0.24730526666666663,0.06666666666666667,37.095789999999994
baseline_reversal,250,3000,-28.7769456,764,152,143,-0.03766615916230367,-0.1893220105263158,-0.20123738181818182,0.08391608391608392,28.7769456
baseline_reversal,250,4000,-28.157345599999996,764,148,139,-0.03685516439790575,-0.19025233513513512,-0.20257083165467624,0.09352517985611511,28.157345599999996
baseline_reversal,250,5000,-31.3448084,764,143,134,-0.041027236125654454,-0.21919446433566434,-0.23391648059701495,0.07462686567164178,31.3448084
baseline_reversal,250,7500,-37.37495159999999,764,131,122,-0.04892009371727747,-0.28530497404580146,-0.3063520622950819,0.13114754098360656,37.37495159999999
baseline_reversal,250,10000,-32.0234784,764,126,117,-0.04191554764397906,-0.2541545904761905,-0.2737049435897436,0.1111111111111111,32.0234784
signal_age_le_10ms,5,500,-10.537970399999995,276,105,99,-0.03818105217391303,-0.10036162285714281,-0.1064441454545454,0.2222222222222222,10.537970399999995
signal_age_le_10ms,5,750,-9.499285999999994,276,105,99,-0.03441770289855071,-0.09046939047619042,-0.09595238383838378,0.25252525252525254,9.499285999999994
signal_age_le_10ms,5,1000,-8.152835999999994,276,105,99,-0.029539260869565195,-0.07764605714285708,-0.08235187878787872,0.26262626262626265,8.152835999999994
signal_age_le_10ms,5,1500,-4.6724999999999985,276,103,97,-0.01692934782608695,-0.0453640776699029,-0.04817010309278349,0.27835051546391754,6.175400000000001
signal_age_le_10ms,5,2000,-4.466599999999997,276,99,93,-0.016183333333333324,-0.04511717171717169,-0.04802795698924728,0.22580645161290322,6.0196999999999985
signal_age_le_10ms,5,3000,-12.120639999999987,276,94,88,-0.04391536231884054,-0.12894297872340413,-0.1377345454545453,0.25,12.216339999999988
signal_age_le_10ms,5,4000,-8.415799999999994,276,92,86,-0.030492028985507225,-0.09147608695652167,-0.09785813953488365,0.313953488372093,8.458549999999994
signal_age_le_10ms,5,5000,-7.34254999999999,276,89,83,-0.02660344202898547,-0.0825005617977527,-0.08846445783132519,0.2891566265060241,7.980149999999996
signal_age_le_10ms,5,7500,-1.3054999999999968,276,82,76,-0.004730072463768104,-0.015920731707317035,-0.017177631578947326,0.4342105263157895,6.686299999999998
signal_age_le_10ms,5,10000,-3.3665499999999935,276,79,73,-0.012197644927536208,-0.042614556962025235,-0.04611712328767115,0.4657534246575342,6.1061
signal_age_le_10ms,10,500,-9.567,276,105,96,-0.03466304347826087,-0.09111428571428572,-0.09965625,0.21875,9.567
signal_age_le_10ms,10,750,-9.658785999999994,276,105,96,-0.03499560144927534,-0.09198843809523803,-0.1006123541666666,0.25,9.658785999999994
signal_age_le_10ms,10,1000,-8.312335999999995,276,105,96,-0.030117159420289835,-0.0791651047619047,-0.08658683333333328,0.2604166666666667,8.312335999999995
signal_age_le_10ms,10,1500,-4.93615,276,103,94,-0.01788460144927536,-0.04792378640776699,-0.05251223404255319,0.2553191489361702,6.175400000000001
signal_age_le_10ms,10,2000,-4.129799999999997,276,100,91,-0.014963043478260859,-0.04129799999999997,-0.045382417582417546,0.23076923076923078,6.019699999999998
signal_age_le_10ms,10,3000,-12.18598999999999,276,95,86,-0.04415213768115938,-0.12827357894736832,-0.14169755813953477,0.2441860465116279,12.28168999999999
signal_age_le_10ms,10,4000,-8.884499999999996,276,93,84,-0.03219021739130433,-0.09553225806451608,-0.1057678571428571,0.30952380952380953,8.927249999999995
signal_age_le_10ms,10,5000,-7.717449999999991,276,90,81,-0.027961775362318808,-0.08574944444444434,-0.09527716049382705,0.2716049382716049,8.074749999999991
signal_age_le_10ms,10,7500,-1.6137999999999968,276,84,75,-0.005847101449275351,-0.019211904761904725,-0.02151733333333329,0.4266666666666667,6.686299999999998
signal_age_le_10ms,10,10000,-3.674849999999994,276,81,72,-0.013314673913043456,-0.04536851851851845,-0.05103958333333325,0.4583333333333333,6.1061
signal_age_le_10ms,25,500,-11.15615,276,105,86,-0.040420833333333336,-0.10624904761904762,-0.12972267441860466,0.13953488372093023,11.15615
signal_age_le_10ms,25,750,-10.568885999999997,276,105,86,-0.038293065217391294,-0.10065605714285712,-0.12289402325581392,0.20930232558139536,10.568885999999997
signal_age_le_10ms,25,1000,-9.525285999999996,276,105,86,-0.034511905797101436,-0.09071700952380948,-0.11075913953488367,0.22093023255813954,9.525285999999996
signal_age_le_10ms,25,1500,-6.1015500000000005,276,105,86,-0.022107065217391305,-0.05811,-0.07094825581395349,0.2441860465116279,6.1015500000000005
signal_age_le_10ms,25,2000,-5.215949999999998,276,105,86,-0.01889836956521738,-0.04967571428571426,-0.06065058139534881,0.2441860465116279,5.6065999999999985
signal_age_le_10ms,25,3000,-10.767099999999989,276,100,81,-0.03901123188405793,-0.10767099999999989,-0.13292716049382702,0.25925925925925924,10.91004999999999
signal_age_le_10ms,25,4000,-8.619249999999997,276,99,80,-0.03122916666666666,-0.08706313131313129,-0.10774062499999996,0.2875,8.709249999999997
signal_age_le_10ms,25,5000,-7.72814999999999,276,96,77,-0.028000543478260833,-0.08050156249999989,-0.10036558441558428,0.2727272727272727,7.8710999999999895
signal_age_le_10ms,25,7500,-2.034899999999996,276,90,71,-0.007372826086956507,-0.022609999999999957,-0.028660563380281633,0.43661971830985913,6.144199999999997
signal_age_le_10ms,25,10000,-4.699299999999994,276,87,68,-0.017026449275362298,-0.05401494252873556,-0.06910735294117638,0.4411764705882353,5.979699999999999
signal_age_le_10ms,50,500,-11.351899999999997,276,106,79,-0.041130072463768104,-0.10709339622641506,-0.14369493670886072,0.11392405063291139,11.351899999999997
signal_age_le_10ms,50,750,-11.198385999999994,276,106,79,-0.04057386231884056,-0.10564515094339617,-0.14175172151898727,0.1518987341772152,11.198385999999994
signal_age_le_10ms,50,1000,-10.163035999999995,276,106,79,-0.03682259420289853,-0.0958776981132075,-0.12864602531645564,0.16455696202531644,10.163035999999995
signal_age_le_10ms,50,1500,-6.534049999999999,276,106,79,-0.023674094202898545,-0.06164198113207546,-0.08270949367088606,0.22784810126582278,6.534049999999999
signal_age_le_10ms,50,2000,-5.1442999999999985,276,106,79,-0.018638768115942023,-0.04853113207547168,-0.06511772151898733,0.21518987341772153,5.392099999999999
signal_age_le_10ms,50,3000,-9.422049999999992,276,102,75,-0.03413786231884055,-0.0923730392156862,-0.12562733333333323,0.25333333333333335,9.517749999999992
signal_age_le_10ms,50,4000,-7.363249999999995,276,101,74,-0.02667844202898549,-0.07290346534653461,-0.09950337837837832,0.3108108108108108,7.591199999999996
signal_age_le_10ms,50,5000,-6.867999999999991,276,98,71,-0.024884057971014457,-0.07008163265306112,-0.09673239436619704,0.28169014084507044,7.362299999999994
signal_age_le_10ms,50,7500,-2.8268999999999966,276,92,65,-0.010242391304347814,-0.030727173913043443,-0.04349076923076918,0.4,6.360899999999999
signal_age_le_10ms,50,10000,-3.8387999999999955,276,90,63,-0.013908695652173897,-0.042653333333333286,-0.06093333333333326,0.4444444444444444,6.384499999999999
signal_age_le_10ms,100,500,-8.393049999999997,276,110,66,-0.03040960144927535,-0.07630045454545452,-0.1271674242424242,0.09090909090909091,8.393049999999997
signal_age_le_10ms,100,750,-8.996485999999994,276,110,66,-0.03259596376811592,-0.08178623636363631,-0.13631039393939384,0.12121212121212122,8.996485999999994
signal_age_le_10ms,100,1000,-8.411185999999994,276,110,66,-0.030475311594202876,-0.07646532727272722,-0.127442212121212,0.13636363636363635,8.411185999999994
signal_age_le_10ms,100,1500,-6.141949999999997,276,110,66,-0.022253442028985496,-0.05583590909090906,-0.09305984848484844,0.18181818181818182,6.141949999999997
signal_age_le_10ms,100,2000,-4.3379499999999975,276,110,66,-0.015717210144927527,-0.03943590909090907,-0.06572651515151512,0.22727272727272727,4.3379499999999975
signal_age_le_10ms,100,3000,-7.248849999999994,276,106,62,-0.026263949275362297,-0.06838537735849051,-0.11691693548387087,0.27419354838709675,7.344549999999995
signal_age_le_10ms,100,4000,-5.115099999999994,276,105,61,-0.018532971014492732,-0.048715238095238034,-0.08385409836065563,0.2786885245901639,5.196749999999995
signal_age_le_10ms,100,5000,-5.31154999999999,276,104,60,-0.019244746376811558,-0.05107259615384606,-0.08852583333333316,0.2833333333333333,5.552849999999992
signal_age_le_10ms,100,7500,-3.653499999999996,276,100,56,-0.013237318840579696,-0.03653499999999996,-0.06524107142857136,0.42857142857142855,4.744299999999998
signal_age_le_10ms,100,10000,-2.220449999999996,276,99,55,-0.00804510869565216,-0.02242878787878784,-0.04037181818181811,0.43636363636363634,4.465049999999998
signal_age_le_10ms,250,500,-8.6543,276,107,61,-0.03135615942028985,-0.08088130841121495,-0.14187377049180327,0.01639344262295082,8.6543
signal_age_le_10ms,250,750,-9.728535999999997,276,107,61,-0.0352483188405797,-0.09092089719626165,-0.15948419672131142,0.04918032786885246,9.728535999999997
signal_age_le_10ms,250,1000,-7.464749999999996,276,107,61,-0.0270461956521739,-0.06976401869158874,-0.12237295081967206,0.08196721311475409,7.464749999999996
signal_age_le_10ms,250,1500,-6.57605,276,107,61,-0.02382626811594203,-0.061458411214953275,-0.10780409836065574,0.13114754098360656,6.57605
signal_age_le_10ms,250,2000,-4.937750000000002,276,107,61,-0.017890398550724645,-0.04614719626168226,-0.08094672131147544,0.16393442622950818,4.937750000000002
signal_age_le_10ms,250,3000,-7.906249999999997,276,104,58,-0.028645833333333325,-0.0760216346153846,-0.13631465517241376,0.1896551724137931,8.028249999999996
signal_age_le_10ms,250,4000,-6.473449999999998,276,103,57,-0.02345452898550724,-0.06284902912621357,-0.113569298245614,0.22807017543859648,6.648999999999997
signal_age_le_10ms,250,5000,-6.699449999999995,276,101,55,-0.024273369565217372,-0.06633118811881183,-0.12180818181818173,0.2,7.034649999999996
signal_age_le_10ms,250,7500,-4.004800000000001,276,98,52,-0.014510144927536236,-0.04086530612244899,-0.07701538461538464,0.34615384615384615,5.189500000000001
signal_age_le_10ms,250,10000,-2.7184500000000007,276,97,51,-0.009849456521739132,-0.02802525773195877,-0.0533029411764706,0.39215686274509803,4.08235
signal_age_le_25ms,5,500,-18.677920399999998,380,150,142,-0.049152422105263154,-0.12451946933333331,-0.13153465070422535,0.176056338028169,18.677920399999998
signal_age_le_25ms,5,750,-17.695235999999994,380,150,142,-0.04656641052631577,-0.11796823999999996,-0.12461433802816897,0.20422535211267606,17.695235999999994
signal_age_le_25ms,5,1000,-15.826585999999999,380,150,142,-0.04164891052631579,-0.10551057333333333,-0.11145483098591548,0.2112676056338028,15.826585999999999
signal_age_le_25ms,5,1500,-12.656950000000002,380,148,140,-0.03330776315789474,-0.08551993243243244,-0.09040678571428573,0.22857142857142856,12.656950000000002
